2016/07/18;61 %; 
2016/07/19;84 %; 
2016/07/20;0 %; 
2016/07/21;84 %; 
2016/07/22;47 %; 
2016/07/23;10 %; 
2016/07/24;100 %; 
2016/07/25;22 %; 
2016/07/26;45 %; 
2016/07/27;95 %; 
2016/07/28;2 %; 
2016/07/29;72 %; 
2016/07/30;63 %; 
2016/07/31;2 %; 
2016/08/01;3 %; 
2016/08/02;95 %; 
2016/08/03;40 %; 
2016/08/04;21 %; 
2016/08/05;99 %; 
2016/08/06;9 %; 
2016/08/07;51 %; 
2016/08/08;85 %; 
2016/08/09;0 %; 
2016/08/10;87 %; 
2016/08/11;58 %; 
2016/08/12;10 %; 
2016/08/13;100 %; 
2016/08/14;19 %; 
2016/08/15;33 %; 
2016/08/16;94 %; 
2016/08/17;2 %; 
2016/08/18;74 %; 
2016/08/19;75 %; 
2016/08/20;3 %; 
2016/08/21;95 %; 
2016/08/22;33 %; 
2016/08/23;18 %; 
2016/08/24;99 %; 
2016/08/25;8 %; 
2016/08/26;59 %; 
2016/08/27;88 %; 
2016/08/28;0 %; 
2016/08/29;87 %; 
2016/08/30;50 %; 
2016/08/31;7 %; 
2016/09/01;14 %; 
2016/09/02;99 %; 
2016/09/03;29 %; 
2016/09/04;36 %; 
2016/09/05;91 %; 
2016/09/06;2 %; 
2016/09/07;62 %; 
2016/09/08;71 %; 
2016/09/09;5 %; 
2016/09/10;95 %; 
2016/09/11;47 %; 
2016/09/12;24 %; 
2016/09/13;98 %; 
2016/09/14;10 %; 
2016/09/15;44 %; 
2016/09/16;82 %; 
2016/09/17;0 %; 
2016/09/18;85 %; 
2016/09/19;64 %; 
2016/09/20;13 %; 
2016/09/21;100 %; 
2016/09/22;22 %; 
2016/09/23;28 %; 
2016/09/24;92 %; 
2016/09/25;1 %; 
2016/09/26;70 %; 
2016/09/27;79 %; 
2016/09/28;5 %; 
2016/09/29;96 %; 
2016/09/30;39 %; 
2016/10/01;19 %; 
2016/10/02;100 %; 
2016/10/03;27 %; 
2016/10/04;44 %; 
2016/10/05;87 %; 
2016/10/06;1 %; 
2016/10/07;65 %; 
2016/10/08;62 %; 
2016/10/09;8 %; 
2016/10/10;96 %; 
2016/10/11;44 %; 
2016/10/12;31 %; 
2016/10/13;96 %; 
2016/10/14;8 %; 
2016/10/15;48 %; 
